TOTAL_MISSIONS,DATE
427428,4/30/67
429702,5/1/67
431757,5/2/67
434166,5/3/67
436303,5/4/67
438647,5/5/67
440215,5/6/67
442476,5/7/67
444713,5/8/67
446990,5/9/67
449506,5/10/67
451949,5/11/67
454350,5/12/67
456440,5/13/67
458792,5/14/67
461085,5/15/67
463742,5/16/67
466228,5/17/67
468589,5/18/67
470910,5/19/67
473390,5/20/67
475713,5/21/67
478114,5/22/67
479001,5/23/67
481421,5/24/67
483667,5/25/67
486136,5/26/67
488238,5/27/67
490377,5/28/67
492531,5/29/67
494644,5/30/67
496745,5/31/67
497807,6/1/67
498874,6/2/67
499929,6/3/67
500714,6/4/67
501554,6/5/67
502378,6/6/67
503450,6/7/67
504356,6/8/67
505325,6/9/67
506405,6/10/67
507528,6/11/67
508555,6/12/67
509631,6/13/67
510804,6/14/67
511923,6/15/67
513230,6/16/67
514403,6/17/67
515669,6/18/67
516965,6/19/67
518210,6/20/67
519381,6/21/67
520657,6/22/67
521956,6/23/67
523107,6/24/67
524274,6/25/67
525312,6/26/67
526376,6/27/67
527546,6/28/67
528668,6/29/67
529587,6/30/67
530621,7/1/67
531735,7/2/67
532793,7/3/67
533939,7/4/67
535076,7/5/67
536209,7/6/67
537212,7/7/67
538279,7/8/67
539287,7/9/67
540220,7/10/67
541325,7/11/67
542389,7/12/67
543549,7/13/67
544571,7/14/67
545628,7/15/67
546659,7/16/67
547702,7/17/67
548800,7/18/67
549879,7/19/67
550911,7/20/67
552042,7/21/67
552999,7/22/67
554291,7/23/67
555501,7/24/67
556637,7/25/67
557842,7/26/67
558980,7/27/67
560039,7/28/67
561055,7/29/67
561995,7/30/67
563030,7/31/67
564067,8/1/67
565181,8/2/67
566433,8/3/67
567611,8/4/67
568707,8/5/67
569961,8/6/67
571294,8/7/67
572316,8/8/67
573389,8/9/67
574517,8/10/67
575789,8/11/67
577016,8/12/67
578075,8/13/67
579137,8/14/67
580389,8/15/67
581288,8/16/67
582410,8/17/67
583541,8/18/67
584933,8/19/67
586060,8/20/67
586931,8/21/67
588384,8/22/67
589603,8/23/67
590742,8/24/67
591630,8/25/67
592423,8/26/67
593527,8/27/67
594672,8/28/67
595862,8/29/67
596941,8/30/67
598020,8/31/67
600384,9/1/67
602788,9/2/67
605071,9/3/67
607238,9/4/67
609028,9/5/67
610681,9/6/67
612839,9/7/67
614788,9/8/67
616945,9/9/67
619097,9/10/67
621218,9/11/67
622978,9/12/67
624780,9/13/67
626134,9/14/67
627623,9/15/67
629086,9/16/67
630571,9/17/67
632161,9/18/67
633755,9/19/67
635718,9/20/67
637831,9/21/67
639542,9/22/67
641367,9/23/67
642827,9/24/67
644718,9/25/67
647071,9/26/67
649469,9/27/67
651778,9/28/67
654046,9/29/67
656078,9/30/67
656919,10/1/67
657975,10/2/67
658842,10/3/67
659823,10/4/67
660997,10/5/67
662213,10/6/67
663319,10/7/67
664069,10/8/67
664964,10/9/67
665935,10/10/67
666898,10/11/67
668086,10/12/67
669401,10/13/67
670616,10/14/67
671505,10/15/67
672596,10/16/67
673690,10/17/67
674767,10/18/67
675605,10/19/67
676593,10/20/67
677770,10/21/67
678927,10/22/67
680110,10/23/67
681306,10/24/67
682626,10/25/67
683871,10/26/67
685009,10/27/67
686240,10/28/67
687465,10/29/67
688791,10/30/67
690040,10/31/67
690050,11/1/67
690058,11/2/67
690066,11/3/67
690076,11/4/67
690088,11/5/67
690090,11/6/67
690100,11/7/67
690112,11/8/67
690120,11/9/67
690129,11/10/67
690141,11/11/67
690149,11/12/67
690154,11/13/67
690158,11/14/67
690168,11/15/67
690174,11/16/67
690180,11/17/67
690190,11/18/67
690200,11/19/67
690207,11/20/67
690213,11/21/67
690223,11/22/67
690229,11/23/67
690238,11/24/67
690242,11/25/67
690254,11/26/67
690262,11/27/67
690272,11/28/67
690279,11/29/67
690287,11/30/67
691282,12/1/67
692185,12/2/67
693339,12/3/67
694585,12/4/67
695787,12/5/67
696912,12/6/67
698025,12/7/67
699083,12/8/67
700314,12/9/67
701336,12/10/67
702311,12/11/67
703335,12/12/67
704276,12/13/67
705414,12/14/67
706604,12/15/67
707864,12/16/67
709144,12/17/67
710358,12/18/67
711668,12/19/67
712951,12/20/67
714118,12/21/67
715351,12/22/67
716746,12/23/67
717777,12/24/67
718594,12/25/67
720024,12/26/67
721369,12/27/67
722655,12/28/67
723689,12/29/67
724770,12/30/67
725705,12/31/67
726178,1/1/68
727561,1/2/68
728748,1/3/68
730190,1/4/68
731502,1/5/68
732764,1/6/68
733834,1/7/68
734978,1/8/68
736235,1/9/68
737434,1/10/68
738782,1/11/68
740152,1/12/68
741298,1/13/68
742593,1/14/68
743943,1/15/68
745290,1/16/68
746615,1/17/68
748072,1/18/68
749526,1/19/68
750851,1/20/68
752158,1/21/68
753690,1/22/68
754951,1/23/68
756255,1/24/68
757611,1/25/68
758998,1/26/68
760172,1/27/68
761416,1/28/68
762824,1/29/68
764111,1/30/68
765405,1/31/68
766840,2/1/68
768112,2/2/68
769393,2/3/68
770647,2/4/68
771915,2/5/68
773196,2/6/68
774471,2/7/68
775687,2/8/68
776930,2/9/68
778115,2/10/68
779330,2/11/68
780556,2/12/68
781766,2/13/68
783003,2/14/68
784188,2/15/68
785379,2/16/68
786629,2/17/68
787924,2/18/68
789214,2/19/68
790387,2/20/68
791513,2/21/68
792749,2/22/68
793906,2/23/68
794976,2/24/68
796044,2/25/68
797216,2/26/68
798625,2/27/68
800221,2/28/68
802884,2/29/68
804041,3/1/68
805184,3/2/68
806418,3/3/68
807635,3/4/68
808794,3/5/68
810248,3/6/68
811648,3/7/68
812989,3/8/68
814265,3/9/68
815511,3/10/68
816932,3/11/68
818223,3/12/68
819456,3/13/68
820994,3/14/68
822527,3/15/68
823949,3/16/68
825421,3/17/68
826621,3/18/68
828030,3/19/68
829495,3/20/68
830897,3/21/68
832221,3/22/68
833482,3/23/68
834718,3/24/68
835949,3/25/68
837152,3/26/68
838449,3/27/68
839759,3/28/68
840912,3/29/68
842066,3/30/68
843046,3/31/68
844041,4/1/68
845261,4/2/68
846433,4/3/68
847589,4/4/68
848935,4/5/68
850142,4/6/68
851449,4/7/68
852927,4/8/68
854567,4/9/68
856111,4/10/68
857248,4/11/68
858493,4/12/68
859797,4/13/68
861107,4/14/68
862624,4/15/68
864023,4/16/68
865681,4/17/68
867501,4/18/68
869056,4/19/68
870556,4/20/68
872180,4/21/68
873886,4/22/68
875405,4/23/68
876752,4/24/68
876772,4/25/68
876792,4/26/68
876812,4/27/68
876834,4/28/68
876858,4/29/68
876878,4/30/68
878004,5/1/68
879284,5/2/68
880951,5/3/68
882602,5/4/68
884323,5/5/68
885983,5/6/68
887706,5/7/68
889554,5/8/68
890975,5/9/68
892648,5/10/68
895853,5/11/68
898709,5/12/68
901707,5/13/68
904410,5/14/68
907343,5/15/68
910262,5/16/68
913060,5/17/68
916043,5/18/68
919085,5/19/68
921883,5/20/68
924818,5/21/68
928023,5/22/68
931068,5/23/68
933941,5/24/68
937084,5/25/68
940122,5/26/68
942978,5/27/68
945492,5/28/68
948241,5/29/68
950813,5/30/68
953330,5/31/68
955641,6/1/68
958337,6/2/68
961313,6/3/68
963829,6/4/68
966818,6/5/68
969816,6/6/68
