NUM_MISSIONS,DATE
1172,1968-04-03
1156,1968-04-04
1346,1968-04-05
1207,1968-04-06
1307,1968-04-07
1478,1968-04-08
1640,1968-04-09
1544,1968-04-10
1137,1968-04-11
1245,1968-04-12
1304,1968-04-13
1310,1968-04-14
1517,1968-04-15
1399,1968-04-16
1658,1968-04-17
1820,1968-04-18
1555,1968-04-19
1500,1968-04-20
1624,1968-04-21
1706,1968-04-22
1519,1968-04-23
1347,1968-04-24
20,1968-04-25
20,1968-04-26
20,1968-04-27
22,1968-04-28
24,1968-04-29
20,1968-04-30
1126,1968-05-01
1280,1968-05-02
1667,1968-05-03
1651,1968-05-04
1721,1968-05-05
1660,1968-05-06
1723,1968-05-07
1848,1968-05-08
1421,1968-05-09
1673,1968-05-10
3205,1968-05-11
2856,1968-05-12
2998,1968-05-13
2703,1968-05-14
2933,1968-05-15
2919,1968-05-16
2798,1968-05-17
2983,1968-05-18
3042,1968-05-19
2798,1968-05-20
2935,1968-05-21
3205,1968-05-22
3045,1968-05-23
2873,1968-05-24
3143,1968-05-25
3038,1968-05-26
2856,1968-05-27
2514,1968-05-28
2749,1968-05-29
2572,1968-05-30
2517,1968-05-31
2311,1968-06-01
2696,1968-06-02
2976,1968-06-03
2516,1968-06-04
2989,1968-06-05
2998,1968-06-06
3344,1968-06-07
2889,1968-06-08
2970,1968-06-09
3000,1968-06-10
3191,1968-06-11
3069,1968-06-12
2938,1968-06-13
2695,1968-06-14
3077,1968-06-15
3140,1968-06-16
2710,1968-06-17
2987,1968-06-18
3229,1968-06-19
3052,1968-06-20
2517,1968-06-21
2927,1968-06-22
3239,1968-06-23
3103,1968-06-24
2995,1968-06-25
2778,1968-06-26
2842,1968-06-27
2678,1968-06-28
2669,1968-06-29
2677,1968-06-30
1274,1968-07-01
1274,1968-07-02
1372,1968-07-03
1417,1968-07-04
1397,1968-07-05
1461,1968-07-06
1505,1968-07-07
1612,1968-07-08
1478,1968-07-09
1447,1968-07-10
1503,1968-07-11
1380,1968-07-12
1489,1968-07-13
1269,1968-07-14
1165,1968-07-15
1202,1968-07-16
929,1968-07-17
1353,1968-07-18
1732,1968-07-19
1599,1968-07-20
1363,1968-07-21
1431,1968-07-22
1340,1968-07-23
1263,1968-07-24
1310,1968-07-25
1325,1968-07-26
21,1968-07-27
20,1968-07-28
21,1968-07-29
20,1968-07-30
24,1968-07-31
1485,1968-08-01
1383,1968-08-02
1545,1968-08-03
1374,1968-08-04
1384,1968-08-05
1484,1968-08-06
1604,1968-08-07
1557,1968-08-08
1660,1968-08-09
1551,1968-08-10
1251,1968-08-11
1093,1968-08-12
975,1968-08-13
1508,1968-08-14
1491,1968-08-15
1397,1968-08-16
1291,1968-08-17
1431,1968-08-18
1501,1968-08-19
1558,1968-08-20
1783,1968-08-21
1469,1968-08-22
1769,1968-08-23
1898,1968-08-24
1734,1968-08-25
1809,1968-08-26
1456,1968-08-27
1554,1968-08-28
1380,1968-08-29
1747,1968-08-30
1661,1968-08-31
1779,1968-09-01
2906,1968-09-02
2865,1968-09-03
1660,1968-09-04
1486,1968-09-05
2115,1968-09-06
3015,1968-09-07
3056,1968-09-08
3021,1968-09-09
2930,1968-09-10
3032,1968-09-11
2896,1968-09-12
2828,1968-09-13
3226,1968-09-14
3107,1968-09-15
3229,1968-09-16
3220,1968-09-17
3267,1968-09-18
3143,1968-09-19
3043,1968-09-20
2513,1968-09-21
2562,1968-09-22
2835,1968-09-23
2883,1968-09-24
2849,1968-09-25
2804,1968-09-26
2941,1968-09-27
3078,1968-09-28
2720,1968-09-29
2859,1968-09-30
1639,1968-10-01
1725,1968-10-02
1816,1968-10-03
1757,1968-10-04
1742,1968-10-05
1863,1968-10-06
1987,1968-10-07
1613,1968-10-08
1450,1968-10-09
1620,1968-10-10
1626,1968-10-11
1439,1968-10-12
1516,1968-10-13
1234,1968-10-14
1213,1968-10-15
1226,1968-10-16
1111,1968-10-17
964,1968-10-18
713,1968-10-19
854,1968-10-20
1186,1968-10-21
1239,1968-10-22
1786,1968-10-23
1653,1968-10-24
1535,1968-10-25
1672,1968-10-26
1575,1968-10-27
1585,1968-10-28
1426,1968-10-29
1446,1968-10-30
1512,1968-10-31
1060,1968-11-01
1161,1968-11-02
1221,1968-11-03
1277,1968-11-04
1270,1968-11-05
1112,1968-11-06
1199,1968-11-07
1180,1968-11-08
823,1968-11-09
1054,1968-11-10
1146,1968-11-11
1055,1968-11-12
986,1968-11-13
1176,1968-11-14
1124,1968-11-15
1121,1968-11-16
1058,1968-11-17
1086,1968-11-18
1032,1968-11-19
1218,1968-11-20
1149,1968-11-21
806,1968-11-22
982,1968-11-23
957,1968-11-24
1150,1968-11-25
1263,1968-11-26
1033,1968-11-27
1029,1968-11-28
1207,1968-11-29
1170,1968-11-30
1260,1968-12-01
1304,1968-12-02
1161,1968-12-03
1305,1968-12-04
1001,1968-12-05
1153,1968-12-06
1278,1968-12-07
1013,1968-12-08
994,1968-12-09
1374,1968-12-10
1225,1968-12-11
891,1968-12-12
1235,1968-12-13
1396,1968-12-14
1218,1968-12-15
1231,1968-12-16
1183,1968-12-17
1449,1968-12-18
1416,1968-12-19
1388,1968-12-20
1331,1968-12-21
940,1968-12-22
1266,1968-12-23
1109,1968-12-24
813,1968-12-25
1421,1968-12-26
1206,1968-12-27
1274,1968-12-28
1360,1968-12-29
1201,1968-12-30
1200,1968-12-31
1306,1969-01-01
1182,1969-01-02
1071,1969-01-03
939,1969-01-04
1107,1969-01-05
995,1969-01-06
995,1969-01-07
1271,1969-01-08
1403,1969-01-09
1204,1969-01-10
1314,1969-01-11
1320,1969-01-12
1145,1969-01-13
1280,1969-01-14
1075,1969-01-15
1125,1969-01-16
1158,1969-01-17
1131,1969-01-18
1275,1969-01-19
1163,1969-01-20
1061,1969-01-21
1271,1969-01-22
1272,1969-01-23
1244,1969-01-24
1248,1969-01-25
1153,1969-01-26
1192,1969-01-27
1176,1969-01-28
1150,1969-01-29
1238,1969-01-30
1104,1969-01-31
1085,1969-02-01
1181,1969-02-02
1264,1969-02-03
1253,1969-02-04
1016,1969-02-05
1226,1969-02-06
1158,1969-02-07
1198,1969-02-08
1314,1969-02-09
1287,1969-02-10
1407,1969-02-11
1329,1969-02-12
1280,1969-02-13
1355,1969-02-14
1083,1969-02-15
1127,1969-02-16
832,1969-02-17
1277,1969-02-18
1130,1969-02-19
1233,1969-02-20
1349,1969-02-21
1328,1969-02-22
1361,1969-02-23
1257,1969-02-24
1462,1969-02-25
1346,1969-02-26
1426,1969-02-27
765,1969-02-28
1293,1969-03-01
1302,1969-03-02
444,1969-03-03
20,1969-03-04
20,1969-03-05
20,1969-03-06
20,1969-03-07
34,1969-03-08
12,1969-03-09
20,1969-03-10
20,1969-03-11
20,1969-03-12
20,1969-03-13
20,1969-03-14
20,1969-03-15
22,1969-03-16
36,1969-03-17
12,1969-03-18
20,1969-03-19
20,1969-03-20
19,1969-03-21
16,1969-03-22
18,1969-03-23
20,1969-03-24
17,1969-03-25
41,1969-03-26
1257,1969-03-27
1325,1969-03-28
1272,1969-03-29
908,1969-03-30
1008,1969-03-31
1203,1969-04-01
1402,1969-04-02
1115,1969-04-03
1190,1969-04-04
1005,1969-04-05
1302,1969-04-06
1347,1969-04-07
1183,1969-04-08
1277,1969-04-09
1311,1969-04-10
1266,1969-04-11
1303,1969-04-12
1132,1969-04-13
1343,1969-04-14
1237,1969-04-15
1122,1969-04-16
1152,1969-04-17
1184,1969-04-18
1172,1969-04-19
1191,1969-04-20
1169,1969-04-21
1286,1969-04-22
1287,1969-04-23
240,1969-04-24
18,1969-04-25
21,1969-04-26
21,1969-04-27
24,1969-04-28
25,1969-04-29
22,1969-04-30
1282,1969-05-01
1242,1969-05-02
1210,1969-05-03
1048,1969-05-04
1333,1969-05-05
1166,1969-05-06
1405,1969-05-07
1337,1969-05-08
1399,1969-05-09
1435,1969-05-10
1321,1969-05-11
1333,1969-05-12
1364,1969-05-13
1299,1969-05-14
1178,1969-05-15
1366,1969-05-16
1151,1969-05-17
1094,1969-05-18
1303,1969-05-19
1176,1969-05-20
1112,1969-05-21
1149,1969-05-22
1041,1969-05-23
987,1969-05-24
859,1969-05-25
759,1969-05-26
660,1969-05-27
676,1969-05-28
856,1969-05-29
410,1969-05-30
996,1969-05-31
1247,1969-06-01
1232,1969-06-02
2418,1969-06-03
2104,1969-06-04
2149,1969-06-05
2118,1969-06-06
2141,1969-06-07
2223,1969-06-08
2411,1969-06-09
2175,1969-06-10
2300,1969-06-11
2176,1969-06-12
2410,1969-06-13
2408,1969-06-14
2432,1969-06-15
2253,1969-06-16
2085,1969-06-17
1803,1969-06-18
2144,1969-06-19
2232,1969-06-20
2236,1969-06-21
2534,1969-06-22
2480,1969-06-23
2481,1969-06-24
2211,1969-06-25
2227,1969-06-26
2241,1969-06-27
2299,1969-06-28
2244,1969-06-29
1996,1969-06-30
1173,1969-07-01
1200,1969-07-02
1137,1969-07-03
1290,1969-07-04
1255,1969-07-05
1133,1969-07-06
1093,1969-07-07
1083,1969-07-08
1077,1969-07-09
1033,1969-07-10
840,1969-07-11
1047,1969-07-12
1056,1969-07-13
973,1969-07-14
1034,1969-07-15
977,1969-07-16
1051,1969-07-17
1068,1969-07-18
922,1969-07-19
1059,1969-07-20
998,1969-07-21
938,1969-07-22
952,1969-07-23
905,1969-07-24
965,1969-07-25
999,1969-07-26
985,1969-07-27
863,1969-07-28
948,1969-07-29
989,1969-07-30
1015,1969-07-31
864,1969-08-01
1003,1969-08-02
1015,1969-08-03
976,1969-08-04
1013,1969-08-05
1047,1969-08-06
994,1969-08-07
854,1969-08-08
907,1969-08-09
1080,1969-08-10
990,1969-08-11
879,1969-08-12
1160,1969-08-13
1189,1969-08-14
1155,1969-08-15
1087,1969-08-16
1032,1969-08-17
1184,1969-08-18
1110,1969-08-19
1182,1969-08-20
1183,1969-08-21
1140,1969-08-22
1148,1969-08-23
1135,1969-08-24
1078,1969-08-25
1112,1969-08-26
1119,1969-08-27
1067,1969-08-28
1045,1969-08-29
1028,1969-08-30
978,1969-08-31
811,1969-09-01
696,1969-09-02
796,1969-09-03
964,1969-09-04
1048,1969-09-05
1011,1969-09-06
933,1969-09-07
546,1969-09-08
595,1969-09-09
633,1969-09-10
1042,1969-09-11
847,1969-09-12
899,1969-09-13
961,1969-09-14
990,1969-09-15
959,1969-09-16
949,1969-09-17
764,1969-09-18
670,1969-09-19
808,1969-09-20
1025,1969-09-21
1020,1969-09-22
1094,1969-09-23
933,1969-09-24
1070,1969-09-25
1070,1969-09-26
1011,1969-09-27
